==> dp8rd2-1.log <==
vol=/root/gluster/dt4rp2, bs=64k, separately_count=1, 63543705.600 Bytes/s, 60.600 MB/s, 60.600 MB/s
vol=/root/gluster/dt4rp2, bs=128k, separately_count=1, 112197632.000 Bytes/s, 107.000 MB/s, 107.000 MB/s
vol=/root/gluster/dt4rp2, bs=256k, separately_count=1, 165675008.000 Bytes/s, 158.000 MB/s, 158.000 MB/s
vol=/root/gluster/dt4rp2, bs=512k, separately_count=1, 200278016.000 Bytes/s, 191.000 MB/s, 191.000 MB/s
vol=/root/gluster/dt4rp2, bs=1M, separately_count=1, 241172480.000 Bytes/s, 230.000 MB/s, 230.000 MB/s
vol=/root/gluster/dt4rp2, bs=2M, separately_count=1, 269484032.000 Bytes/s, 257.000 MB/s, 257.000 MB/s
vol=/root/gluster/dt4rp2, bs=4M, separately_count=1, 288358400.000 Bytes/s, 275.000 MB/s, 275.000 MB/s
vol=/root/gluster/dt4rp2, bs=8M, separately_count=1, 297795584.000 Bytes/s, 284.000 MB/s, 284.000 MB/s
vol=/root/gluster/dt4rp2, bs=16M, separately_count=1, 300941312.000 Bytes/s, 287.000 MB/s, 287.000 MB/s
vol=/root/gluster/dt4rp2, bs=32M, separately_count=1, 303038464.000 Bytes/s, 289.000 MB/s, 289.000 MB/s
vol=/root/gluster/dt4rp2, bs=64M, separately_count=1, 303038464.000 Bytes/s, 289.000 MB/s, 289.000 MB/s
vol=/root/gluster/dt4rp2, bs=128M, separately_count=1, 301989888.000 Bytes/s, 288.000 MB/s, 288.000 MB/s
vol=/root/gluster/dt4rp2, bs=256M, separately_count=1, 299892736.000 Bytes/s, 286.000 MB/s, 286.000 MB/s
vol=/root/gluster/dt4rp2, bs=512M, separately_count=1, 300941312.000 Bytes/s, 287.000 MB/s, 287.000 MB/s

==> dt4rp2-8.log <==
vol=/root/gluster/dt4rp2, bs=1k, separately_count=8, 1051852.800 Bytes/s, 1.003 MB/s, 8.025 MB/s
vol=/root/gluster/dt4rp2, bs=2k, separately_count=8, 2136473.600 Bytes/s, 2.038 MB/s, 16.300 MB/s
vol=/root/gluster/dt4rp2, bs=4k, separately_count=8, 4495769.600 Bytes/s, 4.287 MB/s, 34.300 MB/s
vol=/root/gluster/dt4rp2, bs=8k, separately_count=8, 9017753.600 Bytes/s, 8.600 MB/s, 68.800 MB/s
vol=/root/gluster/dt4rp2, bs=16k, separately_count=8, 18205900.800 Bytes/s, 17.363 MB/s, 138.900 MB/s
vol=/root/gluster/dt4rp2, bs=32k, separately_count=8, 34367078.400 Bytes/s, 32.775 MB/s, 262.200 MB/s
vol=/root/gluster/dt4rp2, bs=64k, separately_count=8, 62141235.200 Bytes/s, 59.263 MB/s, 474.100 MB/s
vol=/root/gluster/dt4rp2, bs=128k, separately_count=8, 110310195.200 Bytes/s, 105.200 MB/s, 841.600 MB/s
vol=/root/gluster/dt4rp2, bs=256k, separately_count=8, 161611776.000 Bytes/s, 154.125 MB/s, 1233.000 MB/s
vol=/root/gluster/dt4rp2, bs=512k, separately_count=8, 207749120.000 Bytes/s, 198.125 MB/s, 1585.000 MB/s
vol=/root/gluster/dt4rp2, bs=1M, separately_count=8, 223346688.000 Bytes/s, 213.000 MB/s, 1704.000 MB/s
vol=/root/gluster/dt4rp2, bs=2M, separately_count=8, 238419968.000 Bytes/s, 227.375 MB/s, 1819.000 MB/s
vol=/root/gluster/dt4rp2, bs=4M, separately_count=8, 203161600.000 Bytes/s, 193.750 MB/s, 1550.000 MB/s
vol=/root/gluster/dt4rp2, bs=8M, separately_count=8, 173146112.000 Bytes/s, 165.125 MB/s, 1321.000 MB/s
vol=/root/gluster/dt4rp2, bs=16M, separately_count=8, 155975680.000 Bytes/s, 148.750 MB/s, 1190.000 MB/s
vol=/root/gluster/dt4rp2, bs=32M, separately_count=8, 149815296.000 Bytes/s, 142.875 MB/s, 1143.000 MB/s
vol=/root/gluster/dt4rp2, bs=64M, separately_count=8, 146931712.000 Bytes/s, 140.125 MB/s, 1121.000 MB/s
vol=/root/gluster/dt4rp2, bs=128M, separately_count=8, 150470656.000 Bytes/s, 143.500 MB/s, 1148.000 MB/s
vol=/root/gluster/dt4rp2, bs=256M, separately_count=8, 147456000.000 Bytes/s, 140.625 MB/s, 1125.000 MB/s
vol=/root/gluster/dt4rp2, bs=512M, separately_count=8, 148111360.000 Bytes/s, 141.250 MB/s, 1130.000 MB/s

==> dt8-1.log <==
vol=/root/gluster/dt8, bs=1k, separately_count=1, 2831155.200 Bytes/s, 2.700 MB/s, 2.700 MB/s
vol=/root/gluster/dt8, bs=2k, separately_count=1, 5976883.200 Bytes/s, 5.700 MB/s, 5.700 MB/s
vol=/root/gluster/dt8, bs=4k, separately_count=1, 4823449.600 Bytes/s, 4.600 MB/s, 4.600 MB/s
vol=/root/gluster/dt8, bs=8k, separately_count=1, 23907532.800 Bytes/s, 22.800 MB/s, 22.800 MB/s
vol=/root/gluster/dt8, bs=16k, separately_count=1, 43620761.600 Bytes/s, 41.600 MB/s, 41.600 MB/s
vol=/root/gluster/dt8, bs=32k, separately_count=1, 84095795.200 Bytes/s, 80.200 MB/s, 80.200 MB/s
vol=/root/gluster/dt8, bs=64k, separately_count=1, 130023424.000 Bytes/s, 124.000 MB/s, 124.000 MB/s
vol=/root/gluster/dt8, bs=128k, separately_count=1, 200278016.000 Bytes/s, 191.000 MB/s, 191.000 MB/s
vol=/root/gluster/dt8, bs=256k, separately_count=1, 254803968.000 Bytes/s, 243.000 MB/s, 243.000 MB/s
vol=/root/gluster/dt8, bs=512k, separately_count=1, 306184192.000 Bytes/s, 292.000 MB/s, 292.000 MB/s
vol=/root/gluster/dt8, bs=1M, separately_count=1, 336592896.000 Bytes/s, 321.000 MB/s, 321.000 MB/s
